direction,title
NEG,Earnings: IBM shares fall despite first growth in 23 quarters
NEG,Glitch: Wells Fargo double charges online bill-pay customers
NEG,HSBC to pay $100m in currency rigging settlement
POS,BP returns to northern Iraqs recaptured oil fields
NEG,Santander UK boss linked to RBS business mistreatment scandal in Commons debate
POS,Facebook to Let Users Rank Credibility of News - The New York Times
POS,"Facebook to rank news outlets by trustworthiness - Jan. 19, 2018 "
NEG,The toxic practice fueling the fierce competition over Amazons second headquarters - The Washington Post
NEG,"Twitter finds 14,000 new Russian accounts linked to the bots and trolls from the Internet Research Agency - The Washington Post"
NEG,Twitter: There were more Russian trolls than we thought
POS,Facebook hires Eurosport chief for multibillion live push | Technology | The Guardian
NEG,Apple Inc. Might Be Planning to Kill the iPhone X Later in 2018 | Fox Business
POS,The worlds most valuable bitcoin startup just grabbed an ex-Twitter exec to make cryptocurrency more user-friendly - Business Insider
POS,Amazon to open checkout-free store | New York Post
POS,Facebook to let users rank 'trust' in news sources
POS,"No lines, no checkout, no problem! Is Amazon Go the grocery store of the future? - NBC News"
NEG,Facebook admits social media sometimes harms democracy - The Washington Post
NEG,Facebook admits social media can harm democracy 
POS,Ubers CEO Predicts the U.S. Will Have Flying Cars Within 10 Years - Bloomberg
POS,BP Weighs Bid for $1.8 Billion Italian Solar Company - Bloomberg
NEG,Ryanair: passengers fight for expenses if flights are delayed | Money | The Guardian
NEG,Uber driver in US illegally charged with 4 California rapes - ABC News
POS,Netflix beats growth estimates despite price increase | New York Post
POS,"JPMorgan to hire 4,000 new workers in US after tax gains | New York Post"
POS,Amazon's newest product line can save parents a ton of money
POS,"Netflix reels in customers after price hike, sending stock to new high"
NEG,Kevin Spacey sexual harassment scandal costs Netflix $39m
POS,"Uber to Be Profitable Within Three Years, CEO Says - Bloomberg"
POS,BP Is Scanning for Renewables Deals to Plan for a Life Beyond Oil - Bloomberg
NEG,Barclays Banker Secretly Taped Saying He Shredded Key Report - Bloomberg
POS,Musk's New Pay Deal Could Make Him the World's Richest ManIf Tesla Succeeds - Bloomberg
NEG,The Future of Sky News Is Suddenly on the Line - Bloomberg
NEG,Twitter's No. 2 Resigns to Become Chief Executive of SoFi - Bloomberg
NEG,Apple to add battery features after slowdown fiasco | New York Post
POS,Twitter uses smart cropping to make image previews more interesting
POS,Elon Musk Says Tesla Will Be a Trillion-Dollar Company Within a Decade
NEG,Nestle to Cut 400 More Jobs in France in Macron-Era Savings Push - Bloomberg
POS,3M Sticks Together Like Scotch Tape as Others Break Up - Bloomberg
NEG,Germany Is Attacking Facebook for the Wrong Reason - Bloomberg
NEG,"Sky News no longer critical to broadcaster, says chief executive | Business | The Guardian"
NEG,"Uber and Waymo head to court over trade secrets - Feb. 2, 2018 "
POS,Why Amazon built its workers a mini rain forest inside three domes in downtown Seattle - The Washington Post
POS,Intel wants smart glasses to be a thing
NEG,"Uber Engaged in Illegal Spying on Rivals, Ex-Employee Says - The New York Times"
NEG,Google Thinks Im Dead - The New York Times
POS,Apple Adds Another Show to Its Growing Streaming Stable - The New York Times
POS,"BP, Once a Renewables Leader, Bets $200 Million on Solar - The New York Times"
POS,"Apple has finally announced the launch of its most powerful computer yet, the $5000 iMac Pro"
NEG,"Twitter is soaring as takeover talk resurfaces - Dec. 15, 2017 "
NEG,Justice Department confirms criminal probe in Uber case - ABC News
NEG,Thousands of Disney workers could be laid off upon merger | New York Post
NEG,"Tesla hit by lawsuit, called 'hotbed for racist behavior' - NBC News"
NEG,"Uber Paid 20-Year-Old Florida Man $100,000 To Keep Quiet About Data Breach | HuffPost"
NEG,Volkswagen Executive Gets Max Sentence Of 7 Years For Role In Emissions Scandal | HuffPost
POS,"Amazon Asked for Patience. Remarkably, Wall Street Complied. - The New York Times"
POS,"Samsung chief walks free after prison sentence suspended - Feb. 5, 2018 "
POS,Samsung scion Lee set free after jail term suspended | New York Post
POS,"For Disneys Iger, a Bold Move That Will Define His Legacy - The New York Times"
NEG,Uber Denies Stealing Self-Driving Car Company's Trade Secrets in Billion Dollar Lawsuit
NEG,"Uber used spies to steal rivals' trade secrets, ex-Uber manager says"
NEG,Uber Is Still Losing Carloads Of Money | HuffPost
NEG,Why Are Women Uber Drivers Paid Less Than Men?
NEG,Conservative Twitter Users Lash Out After Followers Vanish - Bloomberg
NEG,Fed Lowers The Boom On Wells Fargo After Years Of Grotesque Scandals | HuffPost
NEG,Insurance Giant Aflac Reportedly Sued For Worker Exploitation | HuffPost
POS,X-Men Assemble? What a Possible Disney/Fox Deal Could Mean for the Marvel Cinematic Universe
NEG,Why CVS-Aetna may be bad for your health - The Washington Post
NEG,Ryanair seeks to avert Christmas strikes by offering to recognise unions for first time
NEG,Visa takes the blame for a glitch that hit Coinbase cryptocurrency investors with thousands of dollars in 'ghost' charges
NEG,Bank Of America's Poorest Customers To Be Charged For Checking | HuffPost
POS,"Home Depot earnings top Wall Street forecasts, company boosts dividend"
NEG,BHP Billiton warns unification plan could force FTSE 100 exit
NEG,GKN attacks 'short-termist' suitor Melrose's 'lack of experience' 
POS,Bank of America Commits to London Even as Brexit Draws Closer - Bloomberg
NEG,"Google engineer says he was fired for fighting racism, sexism"
POS,Bank of America Signs Up for Another 10 Years at London HQ - Bloomberg
POS,Barclays Sees Uptick Gathering Pace as Dividend Is Restored - Bloomberg
POS,Chinese Auto Magnate Buys $9 Billion Stake in Daimler - The New York Times
NEG,"    Intel didn't tell US cyber officials of Meltdown and Spectre until after it was public - Business Insider
"
POS,General Mills buys natural pet food company for $8 billion | New York Post
NEG,Unilever's Problem With London Goes Way Beyond Brexit - Bloomberg
NEG,"Barclays Isn't Back To Normal Yet, Whatever the Promises - Bloomberg"
NEG,Amazon to pay France $250 million in back taxes
NEG,Ryanair forecasts 'negative PR' ahead as union issue rumbles on
NEG,Facebook Conceded It Might Make You Feel Bad. Heres How to Interpret That. - The New York Times
POS,7 reasons Facebook is the best place to work in America and no other company can compare
NEG,"
                Metlife says it failed to pay some pensions, flags hit to reserves | Reuters"
NEG,Facebook: Social media scrolling can make you feel bad - ABC News
POS,Tax Law Gives Buffetts Berkshire Hathaway a Big Boost in Value - Bloomberg
POS,Business Insider is hiring a tech editorial intern in our San Francisco office! - Business Insider
NEG,"Facebook worries it might be bad for you, adds a mute button - Dec. 15, 2017 "
POS,Microsoft updates Bing search to highlight reputable results - ABC News
NEG,"Unsealed letter accuses Uber of misconduct, including illegal recordings and hacking competitors - Chicago Tribune"
NEG,"Canada snubs Boeing, unveils plan to buy used Australian jets - Chicago Tribune"
NEG,Uber had a terrible 2017. What went wrong? | Fox Business
POS,Tesla unveils electric truck and world's fastest production car - NBC News
NEG,Amazon Temp Workers Who Deliver The Holidays Are Getting Squeezed | HuffPost
POS,Will Apples Mysterious AR Headset Replace the iPhone?
NEG,What Facebooks fight with a former executive says about social medias future - The Washington Post
POS,Lockheed Martin teams up to build supersonic business jet - The Washington Post
NEG,Google faces fresh EU showdown as rivals attack search giant's response to record fine
POS,BP returns to solar with 200m Lightsource deal
POS,Amazon is making another big play for Windows PCs
POS,"    Google will soon roll out emails for businesses that automatically update themselves - Business Insider
"
POS,"Uber Express Pool is like a minibus with cheaper rides - Feb. 21, 2018 "
POS,"
                JPMorgan plans new Manhattan headquarters in boost to Midtown | Reuters"
POS,JPMorgan Chase to replace its HQ with a 70-story skyscraper | New York Post
POS,Google plans to expand in Chicago - Chicago Tribune
POS,Apple in Talks to Buy Cobalt Directly From Miners
POS,JPMorgan Chase keeping its headquarters in NYC
POS,AstraZeneca's key lung cancer treatment wins US approval
NEG,Uber Looks for a London Plumber to Help Plug Its Leaks - Bloomberg
POS,"Out With the Old Building, in With the New for JPMorgan Chase - The New York Times"
POS,"JPMorgan Chase headquarters construction to create 8,000 jobs | Fox Business"
POS,Apple in Talks to Buy Cobalt Directly From Miners - Bloomberg
POS,Oracle is making a massive investment in 12 new data centers to gain ground on Amazon in the cloud wars
NEG,Microsoft just put another nail in the coffin for Windows phones
POS,"
                Apple in talks with miners to secure cobalt supplies: sources | Reuters"
NEG,"
                Nestle in talks to end supermarket row as pricing pressures build | Reuters"
NEG,AT&T loses bid to obtain White House call logs | New York Post
NEG,Facebook's Partnership With Fact-Checkers Gets Off To A Rocky Start : NPR
POS,EQT Breaks Up the Family -- Which Is Great - Bloomberg
POS,"Twitter is trying to crack down on spam bots - Feb. 21, 2018 "
NEG,"
                How General Electric gambled on fossil fuel power, and lost | Reuters"
POS,"
                Safran sees quick rampup of Mexico composite fan blade plant | Reuters"
POS,"
	Why Apple Is Reportedly Looking Into Mining Contracts
"
NEG,"British gas owner Centrica to cut 4,000 jobs as profits tumble"
NEG,"Centrica to Cut 4,000 Jobs as Cost Reduction Program Deepens - Bloomberg"
NEG,Barclays reports 1.9bn loss amid Trump tax change and legal costs | Business | The Guardian
NEG,"    A judge told Palantir to open its books to an investor who believes the $20 billion startup should be investigated for fraud - Business Insider
"
NEG,"    Dell merger with VMware would be an 'obvious negative' - Business Insider
"
NEG,Apple Faces Child Labor Scrutiny As It Looks to Take Charge of Cobalt Mines
POS,"
                Apple shares on verge of record high after Buffett comments | Reuters"
NEG,"
                California appeals court revives U.S. agency's case against AT&T; | Reuters"
POS,"Bank of America to Open 500 U.S. Branches, Push Into Ohio Retail - Bloomberg"
NEG,Facebook Cant Avoid Privacy Suit Over Biometric Face Prints - Bloomberg
NEG,Facebook to Pay $35 Million to Settle Lawsuit Over IPO - Bloomberg
NEG,The Apple HomePod Isn't the Only Smart Speaker That Will Damage Your Furniture
NEG,Equifax hack: Why 50% of Americans still havent checked their credit | Fox Business
POS,"Microsoft argues data privacy case is one for Congress to decide - Feb. 27, 2018 "
POS,"
                Nike defeats appeal over iconic Michael Jordan photo, Jumpman logo | Reuters"
POS,"
                Starbucks opens first Reserve store, sees retail rents easing | Reuters"
NEG,Gap sinks after CEO of ailing flagship brand is sent packing - Chicago Tribune
POS,Sony's PlayStation Vue gets more mobile-friendly updates
NEG,Supreme Court seems set to rule against Microsoft in email privacy case - NBC News
NEG,Centrica feels the heat but avoids cutting the dividend yet again | Nils Pratley | Business | The Guardian
NEG,Siemens Unit's Value in IPO Slips Toward $32 Billion - Bloomberg
NEG,Comptroller sues Wynn Resorts over handling of sex harassment accusations | New York Post
POS,Comcast Outfoxes Murdoch With Move to Break Out of U.S. - Bloomberg
NEG,Cigna bets on getting bigger as rising costs vex health business - Chicago Tribune
POS,AT&T; adding 500 jobs for new Chicago call center - Chicago Tribune
NEG,Bro Culture: Former Google Employee Fired for Poor Performance Launches Sexual Harassment Suit
POS,Southwest Airlines adds 5 non-stop routes; also expands in Phoenix
POS,G4S promises three years of growth after recovery in profits
POS,Eni Wins Stakes in Two Abu Dhabi Oil Concessions - Bloomberg
NEG,Wells Fargo hit with lawsuit for closing fraud victims accounts to save money - NBC News
POS,Coca-Cola may get boozy in Japan with bubbly alcoholic drink - Chicago Tribune
POS,Netflix in discussions for new TV shows produced by Barack and Michelle Obama: report - Chicago Tribune
NEG,Facebook employees say office parking is impossible to find
NEG,Fed Lowers The Boom On Wells Fargo After Years Of Grotesque Scandals | HuffPost
NEG,Barnes and Noble has an attitude problem | New York Post
NEG,Qualcomm Better Have More Than This Up Its Sleeve: Gadfly - The Washington Post
POS,Deutsche Bank to Raise Up to $2.2 Billion in DWS Unit IPO - Bloomberg
NEG,Boeing faces U.S.-Asia cargo clash in design of new 797 jet - Chicago Tribune
NEG,"
                U.S. says Broadcom review confirms security concerns | Reuters"
NEG,"
                Data breach victims can sue Yahoo in the United States: judge | Reuters"
POS,Netflix tests 'patch' system to reward young binge watchers | Fox Business
NEG,Barclays pays bosses 20m jackpot weeks after slumping to a loss 
NEG,"    The GM of one VMware's star business units has jumped ship - Business Insider
"
POS,How boxing champ Evander Holyfield won a $20M contract from Coca-Cola | Fox Business
POS,IBM Is Sending a Floating Robot Head to Space
NEG,How Trump's Tariffs Could Screw Harley-Davidson in Two Ways
POS,Google expansion plans helping to turn NYC into tech hub - ABC News
POS,Trump considers ex-Microsoft exec as top economic adviser: Official | Fox Business
POS,"
                Singapore-based Broadcom to redomicile to U.S. by April 3 | Reuters"
NEG,Aviva Pref Share Plan Gets an Almighty Slap-Down - Bloomberg
NEG,"
                General Electric axes top-executive bonuses for first time | Reuters"
POS,3 Reasons Twitter Has More Growth Ahead | Fox Business
NEG,Yahoo Judge Lets Hack Victims Seek Payback for Data Breaches - Bloomberg
POS,"Boeing's 10,000th 737 rolls off the assembly line"
NEG,Cathay Pacific Airways loss doubles on intense competition | Fox Business
POS,Prudential to spin off M&G into separate business
POS,Prudential to Spin Off M&G; as It Focuses on Growth in Asia - Bloomberg
NEG,Lawsuit claims sexual harassment rife in Microsoft's 'boys' club atmosphere' | Technology | The Guardian
NEG,Can Zuckerberg's media blitz take the pressure off Facebook? - ABC News
NEG,Crisis experts say Facebook has mishandled the data scandal - ABC News
POS,Nike shares jump over 6 percent after positive quarterly results | New York Post
NEG,UK parliament asks Facebook&apos;s Mark Zuckerberg to testify in data misuse case - Chicago Tribune
NEG,Wells Fargo hit with lawsuit for closing fraud victims accounts to save money - NBC News
NEG,Advertisers 'nervous' to be associated with Facebook - BBC News
NEG,Apple Faces Child Labor Scrutiny as It Looks to Take Charge of Cobalt Mines
NEG,Bro Culture: Former Google Employee Fired for Poor Performance Launches Sexual Harassment Suit
NEG,Justice Department: AT&T;s merger is a frontal attack on the law - The Washington Post
NEG,"Who is Christopher Wylie, the guy giving Facebook headaches? - The Washington Post"
NEG,Aviva reverses on plan to drop preference shares after furious backlash
NEG,Facebook&apos;s Zuckerberg apologizes for &apos;major breach of trust&apos; in wake of data-mining scandal - Chicago Tribune
POS,Starbucks commits $10M for greener coffee cup - Chicago Tribune
POS,"Microsoft Announces New Products, Capabilities With Update | Fox Business"
POS,FedEx Says It Will Continue Offering NRA Members Discounts | HuffPost
NEG,"Toys R Us Founder Charles Lazarus, 94, Dies As His Empire Comes To A Close | HuffPost"
NEG,How Trump's Tariffs Could Screw Harley-Davidson in Two Ways
POS,Starbucks wants to make a eco-friendly coffee cup
NEG,Facebook's Mark Zuckerberg hurt by Cambridge Analytica privacy scandal
NEG,EasyJet suspends pilots over dancing cartoon cockpit video | Business | The Guardian
NEG,Bank of America in $42M settlement over 'masking' trading activities
NEG,"Facebook and Mark Zuckerberg are not our friends, they're marketing us"
NEG,AP News Guide: Facebook's widening crisis over user data - ABC News
POS,Bill Ackman scored a $100M profit on Nike shares | New York Post
POS,Starbucks offers sparkling Crystal Ball Frappuccino for buzz - Chicago Tribune
NEG,Cambridge Analytica suspends CEO as Facebook data outcry intensifies; Zuckerberg called to testify - Chicago Tribune
POS,Google Assistant lets you use voice to send cash to a friend.
NEG,Big hang-up for China's Huawei. Best Buy to stop selling its phones
NEG,"Advertisers should help force Facebook reform, says M&C Saatchi agency boss"
NEG,Growth fears and falling profits dog Smiths Group
NEG,Mozilla Announces End To Advertising On Facebook Amid Cambridge Analytica Breach : NPR
NEG,How Facebook likes could profile voters for manipulation - ABC News
NEG,Waste Management founder Wayne Huizenga dies at 80 | Fox Business
POS,"
                Boeing set to win American wide-body jet order: sources | Reuters"
NEG,'Cow Clicker' Developer: Facebook's Response To Complaints Is Too Late : NPR
NEG,Gazprom lays off traders amid threatened retreat from West
POS,Apple proposes new emojis for people with disabilities
NEG,"
                EU antitrust chief keeps open threat to break up Google: report | Reuters"
POS,"
                Boeing completes Dreamliner family with first 787-10 delivery | Reuters"
POS,Apple Unveils Education Product and S.U.V.s Take the Stage at New York Auto Show - The New York Times
POS,Great Wall Motor Bets on Overseas Markets for Next Growth Wave - Bloomberg
NEG,"Watch it, Facebook: new EU data rules may have broad impact | Fox Business"
POS,Facebook to expand its local news feature beyond US | Fox Business
NEG,SoftBank mulls $1 billion investment in Chinese truck-hailing firm: WSJ
NEG,"
	Google No Longer Where Americans Most Want to Work
"
NEG,"
                Exclusive: South Africa investigates $60 million SAP contract | Reuters"
NEG,Facebook stock plunges on FTC probe and news it records users' call logs
NEG,A clamor grows over Mark Zuckerberg and Sheryl Sandbergs public silence about Facebook and the Cambridge Analytica crisis - The Washington Post
POS,BlackRock Looks to Robots to Lead Its New Active Sector ETFs - Bloomberg
POS,"Microsoft market value could top $1 trillion in next year, analysts say - Mar. 26, 2018 "
NEG,"
                Facebook shares dip as U.S. regulator announces privacy probe | Reuters"
POS,Cisco Systems gives $50M to combat California homelessness - ABC News
POS,Novartis CEO Aims to Double China Sales on Faster Drug Approvals - Bloomberg
NEG,Facebook stock takes hit on FTC probe and news it records users' call logs
POS,Nestle to Bring Sugar-Reduction Technology to U.K.'s Milkybar - Bloomberg
POS,"Citigroup Acted. Now, Two New Ideas on How Banks Can Limit Gun Sales. - The New York Times"
POS,"
                Nestle's Milkybar targets healthy sweet spot with designer sugar | Reuters"
POS,How Germany Might Sell Its Commerzbank Stake: Four Scenarios - Bloomberg
NEG,H&M; Profit Plunges to 16-Year Low as Clothing Chain Loses Allure - Bloomberg
NEG,Will you ever trust Facebook again? - Chicago Tribune
NEG,"NPR Survey: Still On Facebook, But Worried : All Tech Considered : NPR"
NEG,Facebook was never free: What Mark Zuckerberg's shocking admissions reveal - Chicago Tribune
NEG,Can Facebook restore public trust after privacy scandal? | Fox Business
POS,Behind the scenes at the Boeing factory in South Carolina
NEG,Zuckerberg buys ads to apologize as Facebook data crisis intensifies
NEG,"Facebook questioned about pulling Android call, text data - The Washington Post"
NEG,Facebook fined in South Korea for limiting user access - ABC News
NEG,Pep Boys suspends Facebook ads after data security breach
NEG,A New Week and a New Problem for Facebook - Bloomberg
NEG,Facebook Comes Under F.T.C. Scrutiny as Stock Slides - The New York Times
NEG,"
                Facebook shares tumble as U.S. regulator announces privacy probe | Reuters"
NEG,Facebook stock tumbles after FTC confirms probe | New York Post
NEG,Facebook shares dip as U.S. regulator announces privacy probe
NEG,Facebook's value drops by $100bn in eight days as US government opens investigation
POS,"
                Toyota to launch 'talking' vehicles in United States in 2021 | Reuters"
POS,Tesla Model 3 just may be worth the wait - Chicago Tribune
NEG,Amazon hits pause on plan to sell drugs as challenges mount: Report | Fox Business
POS,Netflix subscriber growth beats on strong original content
NEG,Break-up talks heat up as WPP begins life without its leader
POS,Facebook hiring content reviewers to combat pornography and hate speech
POS,VW to Change Logo in Preparation for Electric-Car Era - Bloomberg
POS,SoftBank may bid for Tronc newspaper chain | Fox Business
NEG,"
                Energy, transport stocks lift Wall Street, IBM drags | Reuters"
POS,"    Oracle's campus in Austin,Texas, where college grads live, work, party - Business Insider
"
POS,Apple Goes to Hollywood. Will Its Story Have a Happy Ending? - The New York Times
POS,What Apple has to do to beat Chromebooks and win students
NEG,Black men arrested at Starbucks agree to meet with CEO
POS,Toyota to start deploying vehicle-to-vehicle tech in 2021 | Fox Business
POS,"    Microsoft Azure Sphere is powered by Linux - Business Insider
"
POS,Netflix original shows lure more new subscribers than expected
POS,Givaudan Taps Organic Food Trend With $1.6 Billion Naturex Deal - Bloomberg
NEG,IBM stock suffered its worst day since 2013
NEG,US government opens privacy investigation into Facebook
NEG,"
                China steel industry adds voice to steel import concerns | Reuters"
POS,How to download personal Facebook data
NEG,Chinese smartphone maker ZTE barred from US technology | Fox Business
NEG,Qualcomm kicked its former CEO off the board after he said he might try to buy the $89.7 billion company
NEG,No One Wins in Aviva Battle for an Orphaned Asset Class - Bloomberg
NEG,"
	Black Activists Blast Starbucks Apology for 2 Men Arrested at Philadelphia Franchise Location
"
NEG,Is it time to break up the tech giants such as Facebook? | Larry Elliott | Business | The Guardian
NEG,"
                Polls show Facebook losing trust as firm uses ads to apologize | Reuters"
NEG,"Facebook Hasn't Been 'Forthcoming,' Warner Says, Floating New Rules - Bloomberg"
POS,"Apple will return to its roots at Lane Tech event, with new education tools and iPad - Chicago Tribune"
NEG,"
                Americans less likely to trust Facebook than rivals on personal data | Reuters"
NEG,FTC confirms investigation of Facebook; shares plunge - Chicago Tribune
POS,Apple looks to return to head of class in education market - ABC News
POS,Apple finally set to unveil a cheap iPad for schools | New York Post
POS,Avon reaches truce with activist investor | New York Post
POS,EasyJet strikes deal with Airbus to fit fault detectors to its planes
POS,The Latest: Apple unveils educational app at school event - ABC News
POS,Aetna to pass drug discounts directly to consumers | Fox Business
NEG,Nvidia Declines After Suspending Self-Driving Car Testing - Bloomberg
POS,EasyJet announces Berlin expansion and new long-haul link-ups | Business | The Guardian
POS,"Facebook is making its privacy settings easier to find - Mar. 28, 2018 "
POS,"SoftBank, Saudi Arabia announce massive solar power project - ABC News"
POS,"
                U.S. regulator permits China's ZTE to submit more evidence | Reuters"
POS,Amazon Has a Top-Secret Plan to Build Home Robots - Bloomberg
POS,Apple Chicago event: What to expect from new iPads - The Washington Post
POS,"    Amazon is using 'Saturday Night Live' to explain blockchain - Business Insider
"
POS,Toyota wants cars to start 'talking' to each other - Chicago Tribune
POS,"
                Amazon to double down on groceries; foray deeper into fresh produce in India | Reuters"
POS,Amazon home robots in development
POS,BP Gets First Chance to Sell U.S. Pipeline Stake Since Its IPO - Bloomberg
NEG,"With Cryan a Lame Duck, Analysts Split on Deutsche Bank's Path - Bloomberg"
NEG,"
                Air France says 25 percent of flights will be canceled on Monday | Reuters"
NEG,Financial expert taking Facebook to UK court over fake ads - ABC News
NEG,103 Uber drivers accused of sexual assault or abuse 
NEG,"FTC investigates Facebook data misuse, as more advertisers exit"
NEG,Facebook Heading Toward Worst Month Since August 2012 - Bloomberg
NEG,Philadelphia Starbucks: Protests happening after black men arrested
NEG,GM claims the Chevy Bolt gets 238 miles per charge. Heres why thats misleading. - The Washington Post
NEG,Germany Seeks Tighter Facebook Controls After Intolerable Leak - Bloomberg
NEG,Facebook Turns Toxic for Some ESG Funds - Bloomberg
POS,Netflix hits 125 million subscribers 
NEG,Deleting Facebook's billions: stock sinks as outrage swells - ABC News
NEG,"Amazon has shelved plan to sell drugs to hospitals, citing complexity"
POS,Netflix shares surge on strong subscriber growth
POS,Sainsbury's and Asda defend 13bn merger to create grocery powerhouse
POS,"
                Apple shares rise after sales quell iPhone worries | Reuters"
POS,"CVS Health beats expectations for 1Q, 2018 forecast | Fox Business"
POS,EDF Energy wades further offshore with major wind farm deal
POS,UBS Embraces Machines in Quest to Boost Corporate Bond Trading - Bloomberg
NEG,Apple's new iPad is a total misfire that shows how out of touch the company is with schools and kids
POS,Apple announces new products at Lane Tech - Chicago Tribune
POS,Microsoft Tries a New Role: Moral Leader - The New York Times
NEG,5 More Nike Executives Are Out Amid Inquiry Into Harassment Allegations - The New York Times
POS,Nordstrom Men: Choose Your Own Adventure - The New York Times
NEG,Nordstrom Rack Apologizes to Black Teenagers Falsely Accused of Stealing - The New York Times
NEG,"After Fatal Uber Crash, a Self-Driving Start-Up Moves Forward - The New York Times"
POS,"    Google I/O 2018: Best highlights, mind-blowing announcements - Business Insider
"
POS,Your Instagram posts help Facebook crack down on terrorists 
NEG,"
                Ford scrambles to restart truck production after fire at supplier | Reuters"
NEG,"
                Novartis calls $1.2 million deal with Trump lawyer's firm a 'mistake' | Reuters"
POS,How Google aims to simplify your life with AI - ABC News
NEG,Why Wall Street's worried about Tesla - ABC News
POS,Disney profits surge thanks to Black Panther
POS,Apple announces new products at Lane Tech - Chicago Tribune
POS,Apple stock hits all-time high after Buffett says he bought 75 million shares - Chicago Tribune
POS,McDonald's artifacts at the Des Plaines History Center - Chicago Tribune
NEG,Equifax breaks down just how bad last year's data breach was
NEG,China's ZTE stops major operations following US export ban - ABC News
